title:Skeles Wishlist
description:A list of rolls I personally enjoy, heavy PvE bias

// Senuna SI6 ()
dimwishlist:item=5159537&perks=1645158859,2610012052
dimwishlist:item=5159537&perks=1645158859,124408337
dimwishlist:item=5159537&perks=1645158859,460017080
dimwishlist:item=5159537&perks=1645158859,1365187766
dimwishlist:item=5159537&perks=1821614984,2610012052
dimwishlist:item=5159537&perks=1821614984,124408337
dimwishlist:item=5159537&perks=1821614984,460017080
dimwishlist:item=5159537&perks=1821614984,1365187766
dimwishlist:item=5159537&perks=2779035018,2610012052
dimwishlist:item=5159537&perks=2779035018,124408337
dimwishlist:item=5159537&perks=2779035018,460017080
dimwishlist:item=5159537&perks=2779035018,1365187766


// Temptation's Hook ()
dimwishlist:item=35794111&perks=2590710093,3708227201
dimwishlist:item=35794111&perks=2590710093,3913600130
dimwishlist:item=35794111&perks=1749209109,3708227201
dimwishlist:item=35794111&perks=1749209109,3913600130


// Double-Edged Answer ()
dimwishlist:item=105164264&perks=1749209109,3913600130
dimwishlist:item=105164264&perks=1749209109,438098033
dimwishlist:item=105164264&perks=1749209109,354401740
dimwishlist:item=105164264&perks=1749209109,3708227201
dimwishlist:item=105164264&perks=1749209109,2048641572
dimwishlist:item=105164264&perks=3705817207,3913600130
dimwishlist:item=105164264&perks=3705817207,438098033
dimwishlist:item=105164264&perks=3705817207,354401740
dimwishlist:item=105164264&perks=3705817207,3708227201
dimwishlist:item=105164264&perks=3705817207,2048641572
dimwishlist:item=105164264&perks=2590710093,3913600130
dimwishlist:item=105164264&perks=2590710093,438098033
dimwishlist:item=105164264&perks=2590710093,354401740
dimwishlist:item=105164264&perks=2590710093,3708227201
dimwishlist:item=105164264&perks=2590710093,2048641572
dimwishlist:item=105164264&perks=2726471870,3913600130
dimwishlist:item=105164264&perks=2726471870,438098033
dimwishlist:item=105164264&perks=2726471870,354401740
dimwishlist:item=105164264&perks=2726471870,3708227201
dimwishlist:item=105164264&perks=2726471870,2048641572


// Double-Edged Answer - Guard ()
//notes: Built for blocking
dimwishlist:item=105164264&perks=2349202967,2030760728,4274614370
dimwishlist:item=105164264&perks=2349202967,2030760728,3016987351
dimwishlist:item=105164264&perks=2349202967,2244851822,4274614370
dimwishlist:item=105164264&perks=2349202967,2244851822,3016987351
dimwishlist:item=105164264&perks=599007201,2030760728,4274614370
dimwishlist:item=105164264&perks=599007201,2030760728,3016987351
dimwishlist:item=105164264&perks=599007201,2244851822,4274614370
dimwishlist:item=105164264&perks=599007201,2244851822,3016987351


// Pre Astyanax IV ()
dimwishlist:item=192784503&perks=201365942,4293542123
dimwishlist:item=192784503&perks=201365942,2652708987
dimwishlist:item=192784503&perks=201365942,47981717
dimwishlist:item=192784503&perks=201365942,3365897133
dimwishlist:item=192784503&perks=201365942,555281244
dimwishlist:item=192784503&perks=3828510309,4293542123
dimwishlist:item=192784503&perks=3828510309,2652708987
dimwishlist:item=192784503&perks=3828510309,47981717
dimwishlist:item=192784503&perks=3828510309,3365897133
dimwishlist:item=192784503&perks=3828510309,555281244


// Hammerhead ()
dimwishlist:item=211732170&perks=1354429876,557221067
dimwishlist:item=211732170&perks=1354429876,3708227201
dimwishlist:item=211732170&perks=1354429876,95528736
dimwishlist:item=211732170&perks=1354429876,2109543898
dimwishlist:item=211732170&perks=2048641572,557221067
dimwishlist:item=211732170&perks=2048641572,3708227201
dimwishlist:item=211732170&perks=2048641572,95528736
dimwishlist:item=211732170&perks=2048641572,2109543898
dimwishlist:item=211732170&perks=3425386926,557221067
dimwishlist:item=211732170&perks=3425386926,3708227201
dimwishlist:item=211732170&perks=3425386926,95528736
dimwishlist:item=211732170&perks=3425386926,2109543898
dimwishlist:item=211732170&perks=2779035018,557221067
dimwishlist:item=211732170&perks=2779035018,3708227201
dimwishlist:item=211732170&perks=2779035018,95528736
dimwishlist:item=211732170&perks=2779035018,2109543898
dimwishlist:item=211732170&perks=3418782618,557221067
dimwishlist:item=211732170&perks=3418782618,3708227201
dimwishlist:item=211732170&perks=3418782618,95528736
dimwishlist:item=211732170&perks=3418782618,2109543898
dimwishlist:item=211732170&perks=968510818,557221067
dimwishlist:item=211732170&perks=968510818,3708227201
dimwishlist:item=211732170&perks=968510818,95528736
dimwishlist:item=211732170&perks=968510818,2109543898


// Whispering Slab ()
dimwishlist:item=211938782&perks=2450788523,47981717
dimwishlist:item=211938782&perks=2450788523,3523296417
dimwishlist:item=211938782&perks=201365942,47981717
dimwishlist:item=211938782&perks=201365942,3523296417
dimwishlist:item=211938782&perks=706527188,47981717
dimwishlist:item=211938782&perks=706527188,3523296417


// Glissando-47 - Others ()
//notes: Benefits from kills with other weapons
dimwishlist:item=222606050&perks=3978468247,438098033
dimwishlist:item=222606050&perks=3978468247,3751912585


// Glissando-47 - General ()
dimwishlist:item=222606050&perks=1523832109,831391274
dimwishlist:item=222606050&perks=1523832109,2551157718
dimwishlist:item=222606050&perks=1523832109,4049631843
dimwishlist:item=222606050&perks=1523832109,3751912585
dimwishlist:item=222606050&perks=3619207468,831391274
dimwishlist:item=222606050&perks=3619207468,2551157718
dimwishlist:item=222606050&perks=3619207468,4049631843
dimwishlist:item=222606050&perks=3619207468,3751912585
dimwishlist:item=222606050&perks=3643424744,831391274
dimwishlist:item=222606050&perks=3643424744,2551157718
dimwishlist:item=222606050&perks=3643424744,4049631843
